gornje baredine - baredine di sopra|7a|baredine - baredine
ulica stjepana radića - via stjepan radić|21|rovinj - rovigno
ulica stjepana radića - via stjepan radić|29a|rovinj - rovigno
ulica stjepana žiže - via stjepan žiža|7|rovinj - rovigno
rudani|1a|rudani
rudani|8a|rudani
španjolskih boraca|3|rovinj - rovigno
španjolskih boraca|13|rovinj - rovigno
t. n. "monsena"|1|rovinj - rovigno
t. n. "monsena"|2|rovinj - rovigno
t. n. "monsena"|4|rovinj - rovigno
ulica tomaso quarantotto - via tommaso quarantotto|2|rovinj - rovigno
ulica tomaso quarantotto - via tommaso quarantotto|3|rovinj - rovigno
ulica centener - via centener|10|rovinj - rovigno
ulica centener - via centener|13|rovinj - rovigno
ulica centener - via centener|20|rovinj - rovigno
ulica centener - via centener|24|rovinj - rovigno
ulica centener - via centener|25|rovinj - rovigno
ulica centener - via centener|32|rovinj - rovigno
ulica centener - via centener|34|rovinj - rovigno
ulica centener - via centener|38|rovinj - rovigno
ulica centener - via centener|44|rovinj - rovigno
ulica domenica pergolisa - via domenico pergolis|12a|rovinj - rovigno
ulica lorenza i antonija del vescovo - via lorenzo e antonio del vescovo|10|rovinj - rovigno
ulica eugena kumičića - via eugen kumičić|16|rovinj - rovigno
ulica eugena kumičića - via eugen kumičić|18|rovinj - rovigno
ulica val de lesso - via val de lesso|8|rovinj - rovigno
ulica val de lesso - via val de lesso|10|rovinj - rovigno
ulica franje iskre - via franjo iskra|1|rovinj - rovigno
funtana - funtana|2a|rovinj - rovigno
ulica giuseppina martinuzzi - via giuseppina martinuzzi|8|rovinj - rovigno
vijenac braće lorenzetto - circonvallazione fratelli lorenzetto|3|rovinj - rovigno
vijenac braće lorenzetto - circonvallazione fratelli lorenzetto|16|rovinj - rovigno
vijenac franje glavinića - circonvallazione franjo glavinić|2|rovinj - rovigno
vijenac franje glavinića - circonvallazione franjo glavinić|18|rovinj - rovigno
ulica viktora cara-emina - via viktor car-emin|2|rovinj - rovigno
ulica viktora cara-emina - via viktor car-emin|4|rovinj - rovigno
ulica viktora cara-emina - via viktor car-emin|15|rovinj - rovigno
ulica i. matetića-ronjgova - via i. matetić-ronjgov|10|rovinj - rovigno
istarska ulica - via dell'istria|53|rovinj - rovigno
zagrebačka ulica - viale zagabria|11|rovinj - rovigno
zagrebačka ulica - viale zagabria|17|rovinj - rovigno
zagrebačka ulica - viale zagabria|26|rovinj - rovigno
zagrebačka ulica - viale zagabria|27a|rovinj - rovigno
zagrebačka ulica - viale zagabria|29|rovinj - rovigno
ulica ivana mažuranića - via ivan mažuranić|3|rovinj - rovigno
ulica ivana mažuranića - via ivan mažuranić|5|rovinj - rovigno
ulica ivana mažuranića - via ivan mažuranić|9|rovinj - rovigno
ulica ivana mažuranića - via ivan mažuranić|15|rovinj - rovigno
ulica ivana mažuranića - via ivan mažuranić|17|rovinj - rovigno
ulica ivana mažuranića - via ivan mažuranić|19|rovinj - rovigno
ulica ivana mažuranića - via ivan mažuranić|21|rovinj - rovigno
ulica ivana mažuranića - via ivan mažuranić|23|rovinj - rovigno
ulica ivana mažuranića - via ivan mažuranić|25|rovinj - rovigno
ulica ivana mažuranića - via ivan mažuranić|36|rovinj - rovigno
ulica ivana mažuranića - via ivan mažuranić|40|rovinj - rovigno
ulica ivana mažuranića - via ivan mažuranić|42|rovinj - rovigno
ulica vincenta iz kastva - via vincenzo da castua|1|rovinj - rovigno
kalusovo|16a|ripenda kras
mikoti|38b|ripenda kras
ripenda verbanci|6c|ripenda verbanci
ulica kresinskih žrtava - via dei martiri di kresini|22|rovinj - rovigno
ulica kresinskih žrtava - via dei martiri di kresini|24|rovinj - rovigno
ulica lodovica brunettija - via lodovico brunetti|2|rovinj - rovigno
ulica lodovica brunettija - via lodovico brunetti|3|rovinj - rovigno
ulica lodovica brunettija - via lodovico brunetti|12|rovinj - rovigno
ulica andree amorosa - via andrea amoroso|4|rovinj - rovigno
ulica andree amorosa - via andrea amoroso|6|rovinj - rovigno
ulica andree iz bala - via andrea da valle|2|rovinj - rovigno
ulica mate baštijana - via mate baštijan|3|rovinj - rovigno
ulica mate baštijana - via mate baštijan|4|rovinj - rovigno
ulica mate baštijana - via mate baštijan|5|rovinj - rovigno
ulica mate baštijana - via mate baštijan|7|rovinj - rovigno
ulica mate baštijana - via mate baštijan|9|rovinj - rovigno
ulica antonija bazzarinija - via antonio bazzarini|1|rovinj - rovigno
ulica pasquala besenghija - via pasquale besenghi|3|rovinj - rovigno
ulica pasquala besenghija - via pasquale besenghi|8|rovinj - rovigno
ulica pasquala besenghija - via pasquale besenghi|10|rovinj - rovigno
ulica pasquala besenghija - via pasquale besenghi|12|rovinj - rovigno
ulica pasquala besenghija - via pasquale besenghi|14|rovinj - rovigno
ulica pasquala besenghija - via pasquale besenghi|16|rovinj - rovigno
ulica pier antonija biancinija - via pier antonio biancini|3|rovinj - rovigno
ulica bartolomea biasoletta - via bartolomeo biasoletto|2|rovinj - rovigno
ulica bartolomea biasoletta - via bartolomeo biasoletto|6|rovinj - rovigno
ulica petra brajnovića - via petar brajnović|2|rovinj - rovigno
ulica matka brajše rašana - via matko brajša rašan|7|rovinj - rovigno
ulica antonija bronzina - via antonio bronzin|1|rovinj - rovigno
ulica antonija bronzina - via antonio bronzin|2|rovinj - rovigno
ulica antonija bronzina - via antonio bronzin|3|rovinj - rovigno
ulica gian rinalda carlija - via gian rinaldo carli|2|rovinj - rovigno
ulica gian rinalda carlija - via gian rinaldo carli|7|rovinj - rovigno
cesta za mondelaco - strada per mondelaco|3|rovinj - rovigno
ulica lodovica brunettija - via lodovico brunetti|20|rovinj - rovigno
ulica lodovica brunettija - via lodovico brunetti|24|rovinj - rovigno
ulica luje adamovića - via lujo adamović|4|rovinj - rovigno
ulica luje adamovića - via lujo adamović|6|rovinj - rovigno
ulica luje adamovića - via lujo adamović|7|rovinj - rovigno
ulica luje adamovića - via lujo adamović|11|rovinj - rovigno
ulica mattea benussija - via matteo benussi|6|rovinj - rovigno
cesta za mondelaco - strada per mondelaco|8|rovinj - rovigno
cesta za valaltu-lim - strada per valalta-leme|12|rovinj - rovigno
cesta za valaltu-lim - strada per valalta-leme|14|rovinj - rovigno
cesta za valaltu-lim - strada per valalta-leme|16|rovinj - rovigno
ulica antonija coane - via antonio coana|1|rovinj - rovigno
ulica antonija coane - via antonio coana|10|rovinj - rovigno
ulica pietra coppe - via pietro coppo|3|rovinj - rovigno
ulica pietra coppe - via pietro coppo|4|rovinj - rovigno
ulica pietra coppe - via pietro coppo|7|rovinj - rovigno
dubrovačka ulica - via ragusa|8|rovinj - rovigno
dubrovačka ulica - via ragusa|14|rovinj - rovigno
dubrovačka ulica - via ragusa|15|rovinj - rovigno
dubrovačka ulica - via ragusa|18|rovinj - rovigno
dubrovačka ulica - via ragusa|24|rovinj - rovigno
dubrovačka ulica - via ragusa|25|rovinj - rovigno
dubrovačka ulica - via ragusa|26|rovinj - rovigno
dubrovačka ulica - via ragusa|32|rovinj - rovigno
dubrovačka ulica - via ragusa|36|rovinj - rovigno
ulica marca garbina - via marco garbin|1|rovinj - rovigno
ulica marka marulića - via marko marulić|3a|rovinj - rovigno
mazzinijeva ulica - via mazzini|1a|rovinj - rovigno
put stjepana konzula istranina - strada stefano console pinguentino|4|rovinj - rovigno
ulica labinske republike - via della repubblica di albona|1|rovinj - rovigno
ulica labinske republike - via della repubblica di albona|4|rovinj - rovigno
ulica lacosercio - via lacosercio|2|rovinj - rovigno
ulica lacosercio - via lacosercio|6|rovinj - rovigno
ulica lacosercio - via lacosercio|12|rovinj - rovigno
ulica lamanova - via lamanova|3|rovinj - rovigno
ulica marca della pietra - via marco della pietra|6|rovinj - rovigno
ulica marca della pietra - via marco della pietra|8|rovinj - rovigno
ulica michela fachinettia - via michele fachinetti|6|rovinj - rovigno
ulica michela fachinettia - via michele fachinetti|8|rovinj - rovigno
ulica michela fachinettia - via michele fachinetti|10|rovinj - rovigno
ulica michela fachinettia - via michele fachinetti|12|rovinj - rovigno
ulica michela fachinettia - via michele fachinetti|16|rovinj - rovigno
ulica michela fachinettia - via michele fachinetti|18|rovinj - rovigno
ulica michela fachinettia - via michele fachinetti|20|rovinj - rovigno
ulica miroslava krleže - via miroslav krleža|1|rovinj - rovigno
ulica miroslava krleže - via miroslav krleža|2|rovinj - rovigno
ulica miroslava krleže - via miroslav krleža|5|rovinj - rovigno
ulica miroslava krleže - via miroslav krleža|22|rovinj - rovigno
ulica miroslava krleže - via miroslav krleža|24|rovinj - rovigno
mohorovičićeva ulica - via a. mohorovičić|8|rovinj - rovigno
ulica marca della pietra - via marco della pietra|10|rovinj - rovigno
ulica marca della pietra - via marco della pietra|12|rovinj - rovigno
ulica marca della pietra - via marco della pietra|14|rovinj - rovigno
ulica marca della pietra - via marco della pietra|20|rovinj - rovigno
