gornje baredine - baredine di sopra|7a|baredine - baredine
špadići|15c|poreč - parenzo
zelena laguna|6|poreč - parenzo
karla huguesa|4|poreč - parenzo
stancija amorozo|5|poreč - parenzo
ulica velog jože|36|poreč - parenzo
narodni trg|3a|poreč - parenzo
špadići|60|poreč - parenzo
creska|36|poreč - parenzo
anke butorac|26|poreč - parenzo
bruno valenti|24|poreč - parenzo
ulica velog jože|52|poreč - parenzo
mate vlašića|26|poreč - parenzo
matea benussi cio|2|poreč - parenzo
maura gioseffia|2|poreč - parenzo
prvomajska|1|poreč - parenzo
massa lombarda|4|poreč - parenzo
stancija benuška|9|poreč - parenzo
bruno valenti|73|poreč - parenzo
matea benussi cio|11|poreč - parenzo
stancija gržina|2|poreč - parenzo
pietra kandlera|8|poreč - parenzo
rade končara|7|poreč - parenzo
ulica velog jože|35|poreč - parenzo
maura gioseffia|14|poreč - parenzo
materada|13|poreč - parenzo
mate vlašića|24a|poreč - parenzo
kvajera|22|poreč - parenzo
špadići|72a|poreč - parenzo
špadići|44|poreč - parenzo
bruno valenti|17|poreč - parenzo
bruno valenti|55|poreč - parenzo
bruno valenti|14|poreč - parenzo
gašpara kalčića|5|poreč - parenzo
obala maršala tita|3a|poreč - parenzo
bruno valenti|70|poreč - parenzo
save vukelića|8|poreč - parenzo
mate vlašića|26/39|poreč - parenzo
bruno valenti|27|poreč - parenzo
vukovarska|17|poreč - parenzo
vladimira gortana|12|poreč - parenzo
pietra kandlera|8c|poreč - parenzo
materada|33/4|poreč - parenzo
gimnastička|1a|poreč - parenzo
materada|33/3|poreč - parenzo
matea benussi cio|3|poreč - parenzo
bruno valenti|31|poreč - parenzo
glagoljaška ulica|3|poreč - parenzo
ribarski trg|2|poreč - parenzo
ulica istarskog razvoda|19|poreč - parenzo
karla huguesa|28|poreč - parenzo
ulica velog jože|50|poreč - parenzo
bruno valenti|12|poreč - parenzo
ulica velog jože|18|poreč - parenzo
obala maršala tita|6|poreč - parenzo
materada|36|poreč - parenzo
primorska|15|poreč - parenzo
zelena laguna|15|poreč - parenzo
špadići|21|poreč - parenzo
ulica velog jože|67|poreč - parenzo
vitomira paje širole|18|poreč - parenzo
anke butorac|20|poreč - parenzo
karla huguesa|2|poreč - parenzo
creska|32|poreč - parenzo
turistička|2|poreč - parenzo
garbina - garbina|5|garbina - garbina
rade končara|3|poreč - parenzo
palacina|26|poreč - parenzo
palacina|16|poreč - parenzo
43. istarske divizije|29|poreč - parenzo
aldo negri|1|poreč - parenzo
stancija benuška|16|poreč - parenzo
zelena laguna|14b|poreč - parenzo
partizanska|4/1|poreč - parenzo
zagrebačka|3|poreč - parenzo
creska|14|poreč - parenzo
creska|38|poreč - parenzo
šetalište antona restovića|7a|poreč - parenzo
tina ujevića|26|poreč - parenzo
viktora cara emina|12|poreč - parenzo
materada|15|poreč - parenzo
pietra kandlera|8b|poreč - parenzo
ulica velog jože|56|poreč - parenzo
brulo|3|poreč - parenzo
pionirska|2|poreč - parenzo
ulica istarskog razvoda|15|poreč - parenzo
rade končara|1|poreč - parenzo
ulica bože milanovića|1|poreč - parenzo
molindrio|9b|poreč - parenzo
pical|2|poreč - parenzo
matea benussi cio|8|poreč - parenzo
stancija benuška|8|poreč - parenzo
zelena laguna|18|poreč - parenzo
trg joakima rakovca|15|poreč - parenzo
ulica velog jože|25|poreč - parenzo
zelena laguna|21|poreč - parenzo
rajka stipe|22|poreč - parenzo
palacina|30|poreč - parenzo
anke butorac|18|poreč - parenzo
bruno valenti|34|poreč - parenzo
garbina - garbina|10|garbina - garbina
molindrio|11b|poreč - parenzo
špadići|17c|poreč - parenzo
kate pejnović|26|poreč - parenzo
alekse šantića|1|poreč - parenzo
alekse šantića|2|poreč - parenzo
43. istarske divizije|27|poreč - parenzo
nikole tesle|14a|poreč - parenzo
gimnastička|2|poreč - parenzo
podupci|19|poreč - parenzo
massa lombarda|5|poreč - parenzo
karla huguesa|18a|poreč - parenzo
alekse šantića|18|poreč - parenzo
tina ujevića|5|poreč - parenzo
matea benussi cio|9|poreč - parenzo
maura gioseffia|21|poreč - parenzo
zagrebačka|5|poreč - parenzo
maura gioseffia|23|poreč - parenzo
vjekoslava spinčića|3|poreč - parenzo
viktora cara emina|4|poreč - parenzo
rajka stipe|37|poreč - parenzo
bruno valenti|32|poreč - parenzo
petra preradovića|6|poreč - parenzo
stancija benuška|11|poreč - parenzo
obala matka laginje|1|poreč - parenzo
prvomajska|4b|poreč - parenzo
matea benussi cio|12|poreč - parenzo
matea benussi cio|10|poreč - parenzo
bruno valenti|47|poreč - parenzo
stancija amorozo|2|poreč - parenzo
materada|38|poreč - parenzo
ulica velog jože|68|poreč - parenzo
43. istarske divizije|23|poreč - parenzo
maura gioseffia|2c|poreč - parenzo
obala maršala tita|7|poreč - parenzo
massa lombarda|6|poreč - parenzo
narodni trg|4|poreč - parenzo
turistička|1a|poreč - parenzo
palacina|3a|poreč - parenzo
viktora cara emina|8|poreč - parenzo
palacina|20|poreč - parenzo
materada|33|poreč - parenzo
kampac|15|poreč - parenzo
zelena laguna|9|poreč - parenzo
zelena laguna|7|poreč - parenzo
zelena laguna|19|poreč - parenzo
zelena laguna|11|poreč - parenzo
plava laguna|16|poreč - parenzo
plava laguna|17|poreč - parenzo
plava laguna|3|poreč - parenzo
plava laguna|8|poreč - parenzo
plava laguna|21|poreč - parenzo
plava laguna|19|poreč - parenzo
plava laguna|5|poreč - parenzo
šetalište antona ninija štifanića|2|poreč - parenzo
šetalište antona ninija štifanića|4|poreč - parenzo
šetalište antona restovića|7|poreč - parenzo
narodni trg|1a|poreč - parenzo
mate vlašića|26/30|poreč - parenzo
mate vlašića|26/17|poreč - parenzo
mate vlašića|26/14|poreč - parenzo
mate vlašića|26/27|poreč - parenzo
mate vlašića|26/12|poreč - parenzo
mate vlašića|26/3|poreč - parenzo
mate vlašića|26/2|poreč - parenzo
mate vlašića|26/5|poreč - parenzo
mate vlašića|26/49|poreč - parenzo
mate vlašića|26/44|poreč - parenzo
mate vlašića|26/32|poreč - parenzo
mate vlašića|26/33|poreč - parenzo
mate vlašića|26/40|poreč - parenzo
mate vlašića|26/34|poreč - parenzo
mate vlašića|26/21|poreč - parenzo
mate vlašića|26/42|poreč - parenzo
mate vlašića|26/9|poreč - parenzo
mate vlašića|26/19|poreč - parenzo
gornji špadići|18|poreč - parenzo
aldo negri|3|poreč - parenzo
alekse šantića|28|poreč - parenzo
alekse šantića|30|poreč - parenzo
alekse šantića|22|poreč - parenzo
alekse šantića|24|poreč - parenzo
tina ujevića|29|poreč - parenzo
tina ujevića|37|poreč - parenzo
tina ujevića|39|poreč - parenzo
tina ujevića|47|poreč - parenzo
narodni trg|2|poreč - parenzo
bruno valenti|45|poreč - parenzo
kate pejnović|28|poreč - parenzo
alekse šantića|16|poreč - parenzo
alekse šantića|14|poreč - parenzo
alekse šantića|20|poreč - parenzo
stancija benuška|16a|poreč - parenzo
molindrio|12c|poreč - parenzo
pionirska|1a|poreč - parenzo
špadići|39|poreč - parenzo
mate vlašića|20a|poreč - parenzo
zelena laguna|17|poreč - parenzo
špadići|42|poreč - parenzo
obala maršala tita|12|poreč - parenzo
matea benussi cio|6|poreč - parenzo
bruno valenti|5|poreč - parenzo
bruno valenti|49|poreč - parenzo
pietra kandlera|8a|poreč - parenzo
mira grahalića|4|poreč - parenzo
ulica velog jože|57|poreč - parenzo
stancija benuška|17|poreč - parenzo
bruno valenti|50|poreč - parenzo
bruno valenti|16|poreč - parenzo
matea benussi cio|5|poreč - parenzo
trg joakima rakovca|19|poreč - parenzo
punta|23b|poreč - parenzo
massa lombarda|18|poreč - parenzo
ulica velog jože|69|poreč - parenzo
trg matije gupca|15|poreč - parenzo
ulica velog jože|64|poreč - parenzo
massa lombarda|9|poreč - parenzo
špadići|15a|poreč - parenzo
zagrebačka|7|poreč - parenzo
mate vlašića|32|poreč - parenzo
bruno valenti|40|poreč - parenzo
bruno valenti|19a|poreč - parenzo
gašpara kalčića|12|poreč - parenzo
špadići|72b|poreč - parenzo
vjekoslava spinčića|7|poreč - parenzo
zelena laguna|1|poreč - parenzo
palacina|7|poreč - parenzo
kvajera|20|poreč - parenzo
glagoljaška ulica|9|poreč - parenzo
glagoljaška ulica|5|poreč - parenzo
bruno valenti|41|poreč - parenzo
materada|31|poreč - parenzo
plava laguna|7|poreč - parenzo
punta|24|poreč - parenzo
nikole tesle|24|poreč - parenzo
maura gioseffia|18|poreč - parenzo
bruno valenti|9|poreč - parenzo
bruno valenti|38|poreč - parenzo
ulica velog jože|67b|poreč - parenzo
bruno valenti|64|poreč - parenzo
stancija amorozo|1|poreč - parenzo
ulica velog jože|45|poreč - parenzo
ulica velog jože|26|poreč - parenzo
obala maršala tita|25|poreč - parenzo
tina ujevića|30|poreč - parenzo
bruno valenti|105|poreč - parenzo
bruno valenti|11|poreč - parenzo
karla huguesa|15|poreč - parenzo
karla huguesa|22|poreč - parenzo
pietra kandlera|6|poreč - parenzo
zelena laguna|13|poreč - parenzo
mate vlašića|24b|poreč - parenzo
bruno valenti|72|poreč - parenzo
garbina - garbina|2|garbina - garbina
rajka stipe|33|poreč - parenzo
tina ujevića|24|poreč - parenzo
creska|20|poreč - parenzo
bruno valenti|67|poreč - parenzo
stancija benuška|2|poreč - parenzo
pionirska|3|poreč - parenzo
jože šurana|2|poreč - parenzo
rade končara|25|poreč - parenzo
creska|24|poreč - parenzo
plava laguna|6|poreč - parenzo
arsena vivode augusti.|3|poreč - parenzo
massa lombarda|20|poreč - parenzo
punta|8|poreč - parenzo
ulica velog jože|58|poreč - parenzo
ulica istarskog razvoda|12|poreč - parenzo
ulica velog jože|33|poreč - parenzo
podupci|30|poreč - parenzo
ulica velog jože|51|poreč - parenzo
bruno valenti|62|poreč - parenzo
molindrio|10a|poreč - parenzo
gimnastička|1|poreč - parenzo
bruno valenti|7|poreč - parenzo
ulica velog jože|46|poreč - parenzo
bruno valenti|15|poreč - parenzo
stancija gržina|4|poreč - parenzo
kvajera|18|poreč - parenzo
frane glavinića|8|poreč - parenzo
rade končara|2b|poreč - parenzo
bruno valenti|13|poreč - parenzo
santarija|16|poreč - parenzo
gašpara kalčića|14|poreč - parenzo
ulica velog jože|62|poreč - parenzo
glagoljaška ulica|7|poreč - parenzo
vukovarska|20|poreč - parenzo
bruno valenti|26|poreč - parenzo
maura gioseffia|2a|poreč - parenzo
prvomajska|4|poreč - parenzo
ulica velog jože|29|poreč - parenzo
zelena laguna|14a|poreč - parenzo
trg joakima rakovca|17|poreč - parenzo
massa lombarda|24|poreč - parenzo
turistička|1|poreč - parenzo
nikole tesle|19|poreč - parenzo
jože šurana|13|poreč - parenzo
creska|34|poreč - parenzo
ulica velog jože|27|poreč - parenzo
pošeš|11a|poreč - parenzo
nikole tesle|11|poreč - parenzo
karla huguesa|30|poreč - parenzo
gašpara kalčića|1|poreč - parenzo
massa lombarda|11|poreč - parenzo
karla huguesa|18|poreč - parenzo
plava laguna|1|poreč - parenzo
bruno valenti|29|poreč - parenzo
materada|37|poreč - parenzo
bruno valenti|44|poreč - parenzo
obala maršala tita|4|poreč - parenzo
matea benussi cio|14|poreč - parenzo
garbina - garbina|3|garbina - garbina
bruno valenti|33|poreč - parenzo
i. matetića ronjgova|1|poreč - parenzo
rade končara|5|poreč - parenzo
ulica istarskog razvoda|9|poreč - parenzo
massa lombarda|2|poreč - parenzo
viktora cara emina|6|poreč - parenzo
ulica bože milanovića|29|poreč - parenzo
punta|6|poreč - parenzo
bruno valenti|46|poreč - parenzo
bruno valenti|10|poreč - parenzo
mlinska|1|poreč - parenzo
podupci|6|poreč - parenzo
narodni trg|3|poreč - parenzo
zelena laguna|2|poreč - parenzo
garbina - garbina|1|garbina - garbina
palacina|24|poreč - parenzo
bruno valenti|69|poreč - parenzo
ulica istarskog razvoda|1|poreč - parenzo
anke butorac|24|poreč - parenzo
rajka stipe|35|poreč - parenzo
ulica velog jože|63|poreč - parenzo
molindrio|11|poreč - parenzo
karla huguesa|17|poreč - parenzo
ulica velog jože|67c|poreč - parenzo
rade končara|29|poreč - parenzo
ulica velog jože|59|poreč - parenzo
špadići|25|poreč - parenzo
bruno valenti|42|poreč - parenzo
vitomira paje širole|10|poreč - parenzo
stancija benuška|5|poreč - parenzo
narodni trg|1|poreč - parenzo
viktora cara emina|10|poreč - parenzo
bruno valenti|65|poreč - parenzo
trg joakima rakovca|9|poreč - parenzo
kampi|2|poreč - parenzo
viktora cara emina|2|poreč - parenzo
viktora cara emina|3|poreč - parenzo
bruno valenti|19|poreč - parenzo
mate vlašića|24|poreč - parenzo
trg joakima rakovca|18|poreč - parenzo
stancija benuška|19|poreč - parenzo
punta|2|poreč - parenzo
vitomira paje širole|8|poreč - parenzo
ulica velog jože|65|poreč - parenzo
petra preradovića|4|poreč - parenzo
ulica velog jože|55|poreč - parenzo
pošeš|11|poreč - parenzo
ulica velog jože|49|poreč - parenzo
zagrebačka|9|poreč - parenzo
bruno valenti|25|poreč - parenzo
zelena laguna|14c|poreč - parenzo
podupci|20|poreč - parenzo
molindrio|12|poreč - parenzo
aldo negri|5|poreč - parenzo
punta|25|poreč - parenzo
gašpara kalčića|16|poreč - parenzo
rade končara|27|poreč - parenzo
zagrebačka|1|poreč - parenzo
vitomira paje širole|14|poreč - parenzo
karla huguesa|13|poreč - parenzo
bruno valenti|53|poreč - parenzo
ulica bože milanovića|29a|poreč - parenzo
špadići|17b|poreč - parenzo
otokara keršovanija|14|poreč - parenzo
anke butorac|22|poreč - parenzo
vitomira paje širole|12|poreč - parenzo
špadići|31|poreč - parenzo
molindrio|12b|poreč - parenzo
petra preradovića|4a|poreč - parenzo
zagrebačka|17|poreč - parenzo
ulica velog jože|24|poreč - parenzo
trg joakima rakovca|16|poreč - parenzo
ulica velog jože|20|poreč - parenzo
petra preradovića|8|poreč - parenzo
karla huguesa|10|poreč - parenzo
tina ujevića|20|poreč - parenzo
save vukelića|10|poreč - parenzo
ulica velog jože|71|poreč - parenzo
bruno valenti|74|poreč - parenzo
43. istarske divizije|25|poreč - parenzo
vitomira paje širole|6|poreč - parenzo
creska|28|poreč - parenzo
viktora cara emina|5|poreč - parenzo
trg joakima rakovca|14|poreč - parenzo
frane glavinića|10|poreč - parenzo
ulica istarskog razvoda|11|poreč - parenzo
ulica bože milanovića|3|poreč - parenzo
bruno valenti|28|poreč - parenzo
bruno valenti|52|poreč - parenzo
nikole tesle|15|poreč - parenzo
bruno valenti|19b|poreč - parenzo
vjekoslava spinčića|5|poreč - parenzo
matea benussi cio|4|poreč - parenzo
bruno valenti|56|poreč - parenzo
plava laguna|9|poreč - parenzo
zelena laguna|12|poreč - parenzo
vitomira paje širole|20|poreč - parenzo
santarija|14|poreč - parenzo
ulica velog jože|60|poreč - parenzo
podupci|28|poreč - parenzo
bruno valenti|60|poreč - parenzo
obala maršala tita|8a|poreč - parenzo
matea benussi cio|1|poreč - parenzo
karla huguesa|16|poreč - parenzo
ulica istarskog razvoda|7|poreč - parenzo
prvomajska|2|poreč - parenzo
ulica bože milanovića|33|poreč - parenzo
molindrio|12a|poreč - parenzo
stancija vodopija - stanzia bevilacqua|24b|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|11d|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|10c|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|10e|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|10b|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|9c|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|10d|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|11c|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|9b|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|19|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|31|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|17|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|18|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|14|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|24c|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|11|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|24a|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|11a|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|9d|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|11b|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|9e|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|9a|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|10a|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|23|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|24d|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|20|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|16|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|25e|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|25d|stancija vodopija - stanzia bevilacqua
rade končara|2|poreč - parenzo
stancija padovan|20|poreč - parenzo
stancija padovan|18|poreč - parenzo
stancija bergamante|10|poreč - parenzo
stancija bergamante|8|poreč - parenzo
stancija bergamante|9|poreč - parenzo
stancija bergamante|7|poreč - parenzo
stancija bergamante|5|poreč - parenzo
bruno valenti|76|poreč - parenzo
palacina|18a|poreč - parenzo
creska|18|poreč - parenzo
dr. ante šonje|1|poreč - parenzo
pietra kandlera|3|poreč - parenzo
pietra kandlera|2|poreč - parenzo
stancija vodopija - stanzia bevilacqua|10|stancija vodopija - stanzia bevilacqua
osmog marta|2|poreč - parenzo
osmog marta|4|poreč - parenzo
osmog marta|6|poreč - parenzo
osmog marta|8|poreč - parenzo
palacina|22|poreč - parenzo
stancija vodopija - stanzia bevilacqua|22|stancija vodopija - stanzia bevilacqua
tina ujevića|3|poreč - parenzo
ane guštin|3|poreč - parenzo
ane guštin|5|poreč - parenzo
ane guštin|4|poreč - parenzo
ane guštin|2|poreč - parenzo
ane guštin|1|poreč - parenzo
kampi|17a|poreč - parenzo
zagrebačka|15b|poreč - parenzo
molindrio|9c|poreč - parenzo
podupci|9|poreč - parenzo
stancija vodopija - stanzia bevilacqua|24e|stancija vodopija - stanzia bevilacqua
molindrio|15b|poreč - parenzo
trg joakima rakovca|10|poreč - parenzo
obala maršala tita|8b|poreč - parenzo
gornji špadići|35|poreč - parenzo
nikole tesle|13a|poreč - parenzo
špadići|15d|poreč - parenzo
stancija vodopija - stanzia bevilacqua|21|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|21a|stancija vodopija - stanzia bevilacqua
pical|1|poreč - parenzo
obala matka laginje|1a|poreč - parenzo
stancija bergamante|15|poreč - parenzo
šetalište antona restovića|19a|poreč - parenzo
šetalište antona restovića|19|poreč - parenzo
šetalište antona restovića|21|poreč - parenzo
stancija vodopija - stanzia bevilacqua|22a|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|22b|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|22c|stancija vodopija - stanzia bevilacqua
stancija vodopija - stanzia bevilacqua|22d|stancija vodopija - stanzia bevilacqua
anke butorac|29|poreč - parenzo
rajka stipe|3a|poreč - parenzo
rajka stipe|1|poreč - parenzo
rajka stipe|1a|poreč - parenzo
rajka stipe|3|poreč - parenzo
rajka stipe|5|poreč - parenzo
rajka stipe|9|poreč - parenzo
rajka stipe|7|poreč - parenzo
rajka stipe|11|poreč - parenzo
rajka stipe|13|poreč - parenzo
rajka stipe|15|poreč - parenzo
rajka stipe|17|poreč - parenzo
rajka stipe|19|poreč - parenzo
rajka stipe|21|poreč - parenzo
maria milohanovića|9|poreč - parenzo
maria milohanovića|10|poreč - parenzo
rajka stipe|23|poreč - parenzo
rajka stipe|25|poreč - parenzo
rajka stipe|31|poreč - parenzo
rajka stipe|29|poreč - parenzo
rajka stipe|27|poreč - parenzo
rajka stipe|12|poreč - parenzo
rajka stipe|14|poreč - parenzo
rajka stipe|16|poreč - parenzo
rajka stipe|18|poreč - parenzo
rajka stipe|20|poreč - parenzo
rajka stipe|2|poreč - parenzo
rajka stipe|4|poreč - parenzo
rajka stipe|6|poreč - parenzo
rajka stipe|8|poreč - parenzo
rajka stipe|10|poreč - parenzo
draga gervaisa|10|poreč - parenzo
draga gervaisa|12|poreč - parenzo
draga gervaisa|14|poreč - parenzo
draga gervaisa|16|poreč - parenzo
draga gervaisa|18|poreč - parenzo
draga gervaisa|2|poreč - parenzo
draga gervaisa|4|poreč - parenzo
draga gervaisa|6|poreč - parenzo
draga gervaisa|8|poreč - parenzo
draga gervaisa|2a|poreč - parenzo
karla huguesa|7|poreč - parenzo
ulica županije somogy|5|poreč - parenzo
nade dimić|12|poreč - parenzo
kate pejnović|7|poreč - parenzo
kate pejnović|9|poreč - parenzo
kate pejnović|11|poreč - parenzo
kate pejnović|13|poreč - parenzo
kate pejnović|1|poreč - parenzo
kate pejnović|3|poreč - parenzo
kate pejnović|5|poreč - parenzo
kate pejnović|14|poreč - parenzo
kate pejnović|16|poreč - parenzo
kate pejnović|18|poreč - parenzo
kate pejnović|20|poreč - parenzo
kate pejnović|22|poreč - parenzo
kate pejnović|24|poreč - parenzo
kate pejnović|2|poreč - parenzo
kate pejnović|4|poreč - parenzo
kate pejnović|6|poreč - parenzo
kate pejnović|8|poreč - parenzo
kate pejnović|10|poreč - parenzo
kate pejnović|12|poreč - parenzo
bruno valenti|75|poreč - parenzo
bruno valenti|77|poreč - parenzo
bruno valenti|79|poreč - parenzo
bruno valenti|81|poreč - parenzo
bruno valenti|83|poreč - parenzo
bruno valenti|85|poreč - parenzo
bruno valenti|87|poreč - parenzo
bruno valenti|89|poreč - parenzo
bruno valenti|91|poreč - parenzo
bruno valenti|93|poreč - parenzo
bruno valenti|95|poreč - parenzo
bruno valenti|97|poreč - parenzo
bruno valenti|99|poreč - parenzo
bruno valenti|101|poreč - parenzo
bruno valenti|103|poreč - parenzo
stancija padovan|19|poreč - parenzo
mate vlašića|28|poreč - parenzo
mate vlašića|30a|poreč - parenzo
mate vlašića|30b|poreč - parenzo
tina ujevića|18|poreč - parenzo
tina ujevića|16|poreč - parenzo
tina ujevića|14|poreč - parenzo
tina ujevića|10|poreč - parenzo
tina ujevića|8|poreč - parenzo
tina ujevića|12|poreč - parenzo
otokara keršovanija|1|poreč - parenzo
otokara keršovanija|3|poreč - parenzo
otokara keršovanija|5|poreč - parenzo
vladimira gortana|1|poreč - parenzo
vladimira gortana|3|poreč - parenzo
vladimira gortana|5|poreč - parenzo
vladimira gortana|7|poreč - parenzo
vladimira gortana|9|poreč - parenzo
ulica istarskog razvoda|5|poreč - parenzo
ulica istarskog razvoda|5a|poreč - parenzo
vladimira gortana|7a|poreč - parenzo
vladimira gortana|11|poreč - parenzo
vladimira gortana|13|poreč - parenzo
vladimira gortana|15|poreč - parenzo
vladimira gortana|17|poreč - parenzo
vladimira gortana|19|poreč - parenzo
vladimira gortana|21|poreč - parenzo
vladimira gortana|23a|poreč - parenzo
vladimira gortana|23|poreč - parenzo
vladimira gortana|25|poreč - parenzo
jože šurana|4|poreč - parenzo
jože šurana|6|poreč - parenzo
jože šurana|8|poreč - parenzo
jože šurana|10|poreč - parenzo
jože šurana|12|poreč - parenzo
mira grahalića|2|poreč - parenzo
trg joakima rakovca|1|poreč - parenzo
trg joakima rakovca|2|poreč - parenzo
trg joakima rakovca|3|poreč - parenzo
trg joakima rakovca|4|poreč - parenzo
trg joakima rakovca|5|poreč - parenzo
rade končara|14|poreč - parenzo
trg joakima rakovca|7|poreč - parenzo
karla huguesa|9|poreč - parenzo
ulica velog jože|40|poreč - parenzo
ulica velog jože|41|poreč - parenzo
ulica velog jože|42|poreč - parenzo
ulica velog jože|43|poreč - parenzo
ulica velog jože|40a|poreč - parenzo
ulica velog jože|42a|poreč - parenzo
ivana g. kovačića|12|poreč - parenzo
mate vlašića|34|poreč - parenzo
tarska|3|poreč - parenzo
višnjanska|10|poreč - parenzo
vukovarska|29|poreč - parenzo
ivana g. kovačića|1|poreč - parenzo
vrsarska|23|poreč - parenzo
bračka|6|poreč - parenzo
gornji špadići|2|poreč - parenzo
dalmatinska|8|poreč - parenzo
istarska|16|poreč - parenzo
jadranska|12a|poreč - parenzo
ivana g. kovačića|4|poreč - parenzo
ive andrića|27|poreč - parenzo
43. istarske divizije|7|poreč - parenzo
pazinska|17|poreč - parenzo
franca prešerna|22|poreč - parenzo
dalmatinska|15a|poreč - parenzo
mate vlašića|25|poreč - parenzo
tarska|6|poreč - parenzo
pazinska|20|poreč - parenzo
tarska|9|poreč - parenzo
vrsarska|43|poreč - parenzo
rovinjska|9|poreč - parenzo
vukovarska|21b|poreč - parenzo
grožnjanska|39|poreč - parenzo
tarska|7|poreč - parenzo
pulska|21|poreč - parenzo
43. istarske divizije|1|poreč - parenzo
pulska|10|poreč - parenzo
ivana g. kovačića|11a|poreč - parenzo
43. istarske divizije|3|poreč - parenzo
pulska|36|poreč - parenzo
pulska|17|poreč - parenzo
vrsarska|21|poreč - parenzo
43. istarske divizije|12|poreč - parenzo
vrsarska|35|poreč - parenzo
dalmatinska|3|poreč - parenzo
humska|10a|poreč - parenzo
vukovarska|27a|poreč - parenzo
ilirska ulica|5a|poreč - parenzo
vukovarska|21a|poreč - parenzo
ulica tridesetog travnja|10|poreč - parenzo
ivana g. kovačića|16|poreč - parenzo
dalmatinska|23|poreč - parenzo
pazinska|7|poreč - parenzo
franca prešerna|12|poreč - parenzo
pulska|15|poreč - parenzo
vrsarska|37|poreč - parenzo
ilirska ulica|21|poreč - parenzo
ulica tridesetog travnja|8|poreč - parenzo
pulska|4|poreč - parenzo
ivana g. kovačića|31|poreč - parenzo
43. istarske divizije|22|poreč - parenzo
jadranska|9|poreč - parenzo
ive andrića|31|poreč - parenzo
pulska|7|poreč - parenzo
vukovarska|24a|poreč - parenzo
pulska|8|poreč - parenzo
franca prešerna|16|poreč - parenzo
pulska|2|poreč - parenzo
vukovarska|28a|poreč - parenzo
ivana g. kovačića|17a|poreč - parenzo
43. istarske divizije|52|poreč - parenzo
pazinska|6|poreč - parenzo
glagoljaška ulica|16|poreč - parenzo
pazinska|1|poreč - parenzo
dalmatinska|15c|poreč - parenzo
glagoljaška ulica|12|poreč - parenzo
ivana g. kovačića|19a|poreč - parenzo
ivana g. kovačića|21|poreč - parenzo
rovinjska|21|poreč - parenzo
ivana g. kovačića|20|poreč - parenzo
ivana g. kovačića|25|poreč - parenzo
franca prešerna|18|poreč - parenzo
tarska|4|poreč - parenzo
vrsarska|15|poreč - parenzo
ilirska ulica|39|poreč - parenzo
ivana g. kovačića|24|poreč - parenzo
rovinjska|4|poreč - parenzo
višnjanska|6|poreč - parenzo
tarska|5|poreč - parenzo
dalmatinska|15|poreč - parenzo
pulska|11|poreč - parenzo
bračka|15|poreč - parenzo
korčulanska|14|poreč - parenzo
dalmatinska|11|poreč - parenzo
43. istarske divizije|5|poreč - parenzo
franca prešerna|24a|poreč - parenzo
ivana g. kovačića|7a|poreč - parenzo
glagoljaška ulica|10|poreč - parenzo
ivana g. kovačića|9|poreč - parenzo
ivana g. kovačića|7|poreč - parenzo
rovinjska|5|poreč - parenzo
franca prešerna|18a|poreč - parenzo
